id,treat,age,educ,black,hisp,marr,nodegree,year,real.earnings
1,0,45,11,0,0,1,1,1974,21516.669921875
2,0,21,14,0,0,0,0,1974,3175.97094726562
3,0,38,12,0,0,1,0,1974,23039.01953125
4,0,48,6,0,0,1,1,1974,24994.369140625
5,0,18,8,0,0,1,1,1974,1669.29504394531
6,0,22,11,0,0,1,1,1974,16365.759765625
7,0,48,10,0,0,1,1,1974,16804.630859375
8,0,18,11,0,0,0,1,1974,1144.21203613281
9,0,48,9,0,0,1,1,1974,25862.3203125
10,0,45,12,0,0,1,0,1974,25862.3203125
11,0,34,14,0,0,1,0,1974,25862.3203125
12,0,16,10,0,0,0,1,1974,1026.65600585938
13,0,53,10,0,0,1,1,1974,25862.3203125
14,0,19,12,0,0,0,0,1974,867.955200195312
15,0,27,12,0,0,1,0,1974,25862.3203125
16,0,32,10,0,0,1,1,1974,20427.3203125
17,0,27,12,0,0,1,0,1974,20983.75
18,0,46,7,0,0,1,1,1974,19171.4296875
19,0,24,13,0,0,0,0,1974,20830.919921875
20,0,22,13,0,0,0,0,1974,11036.5498046875
21,0,49,10,0,0,1,1,1974,391.853393554688
22,0,17,10,0,0,0,1,1974,0
23,0,29,14,0,0,1,0,1974,21499.029296875
24,0,28,16,0,0,1,0,1974,16500.94921875
25,0,46,12,0,0,1,0,1974,24814.109375
26,0,26,17,1,0,1,0,1974,0
27,0,49,12,0,0,0,0,1974,25862.3203125
28,0,51,10,0,0,1,1,1974,25862.3203125
29,0,51,10,0,0,1,1,1974,22923.419921875
30,0,27,11,0,0,1,1,1974,17022.109375
31,0,23,13,0,0,0,0,1974,19098.9296875
32,0,27,10,0,0,1,1,1974,7952.6640625
33,0,38,10,0,0,1,1,1974,25862.3203125
34,0,32,8,0,0,0,1,1974,7186.5908203125
35,0,34,14,0,0,1,0,1974,25862.3203125
36,0,26,18,0,0,1,0,1974,20971.990234375
37,0,21,13,0,0,0,0,1974,8638.4072265625
38,0,39,8,0,1,0,1,1974,13499.349609375
39,0,17,8,1,0,0,1,1974,0
40,0,22,11,0,1,1,1,1974,17466.859375
41,0,21,12,0,1,0,0,1974,0
42,0,44,9,0,1,1,1,1974,15390.0400390625
43,0,26,10,0,1,1,1,1974,17125.94921875
44,0,54,4,0,1,1,1,1974,13350.4404296875
45,0,42,12,0,1,1,0,1974,21663.609375
46,0,25,12,0,0,0,0,1974,8105.48681640625
47,0,20,13,0,0,0,0,1974,317.401214599609
48,0,44,11,0,0,1,1,1974,25862.3203125
49,0,33,12,0,0,1,0,1974,25862.3203125
50,0,40,12,0,0,1,0,1974,25862.3203125
51,0,25,16,0,0,1,0,1974,21048.400390625
52,0,33,12,0,0,0,0,1974,12694.08984375
53,0,52,13,1,0,0,0,1974,19827.779296875
54,0,54,14,0,0,1,0,1974,24686.759765625
55,0,27,15,0,0,0,0,1974,19200.810546875
56,0,51,10,0,0,1,1,1974,7488.31787109375
57,0,42,12,0,0,1,0,1974,6502.80712890625
58,0,50,10,0,0,1,1,1974,25862.3203125
59,0,47,10,0,0,1,1,1974,15282.2802734375
60,0,28,12,0,0,1,0,1974,24224.369140625
61,0,33,12,0,0,1,0,1974,25862.3203125
62,0,33,13,0,0,1,0,1974,21146.369140625
63,0,55,16,0,0,1,0,1974,25862.3203125
64,0,38,12,0,0,1,0,1974,25862.3203125
65,0,39,16,0,0,1,0,1974,25862.3203125
66,0,27,17,0,0,1,0,1974,25862.3203125
