fips,clon00,clat00,clon10,clat10,pclon00,pclat00,pclon10,pclat10
01001,-86.577176,32.523283,-86.64449,32.536382,-86.501832,32.500323,-86.494165,32.500389
01003,-87.748260,30.592781,-87.746067,30.659218,-87.76054,30.565383,-87.762381,30.548923
01005,-85.331312,31.856515,-85.405456,31.87067,-85.306746,31.847869,-85.310038,31.844036
01007,-87.123243,33.040054,-87.127148,33.015893,-87.127019,33.025947,-87.127659,33.030921
01009,-86.554768,33.978461,-86.567246,33.977448,-86.582617,33.962601,-86.591491,33.955243
01011,-85.704915,32.098285,-85.717261,32.101759,-85.702783,32.114144,-85.701192,32.116327
01013,-86.662232,31.735884,-86.681969,31.751667,-86.656062,31.771916,-86.65355,31.773539
01015,-85.817544,33.741989,-85.822513,33.771706,-85.822048,33.722127,-85.819442,33.72546
01017,-85.288745,32.891233,-85.391812,32.917943,-85.265864,32.86135,-85.266474,32.860439
01019,-85.621930,34.184158,-85.654242,34.069515,-85.6271,34.179934,-85.629194,34.179333
01021,-86.689982,32.852554,-86.726627,32.854059,-86.690393,32.873767,-86.687406,32.877547
01023,-88.257855,32.027681,-88.248887,31.991008,-88.261777,32.022546,-88.264164,32.016562
01025,-87.834164,31.688155,-87.818624,31.685521,-87.814619,31.688185,-87.815673,31.685685
01027,-85.842858,33.265810,-85.862051,33.267809,-85.818841,33.271389,-85.820227,33.272412
01029,-85.511937,33.647948,-85.516109,33.671981,-85.500911,33.623107,-85.494315,33.62977
01031,-85.956841,31.378987,-85.989201,31.402183,-85.915827,31.356766,-85.904715,31.354433
01033,-87.725960,34.731480,-87.801457,34.703112,-87.687401,34.72299,-87.685151,34.723385
01035,-87.002108,31.415613,-86.992029,31.428292,-86.995692,31.417059,-86.996483,31.418674
01037,-86.236319,32.955511,-86.243482,32.931445,-86.151949,32.978756,-86.155035,32.975932
01039,-86.416195,31.251036,-86.448721,31.243987,-86.411489,31.283897,-86.410955,31.282449
01041,-86.289299,31.710365,-86.319222,31.732826,-86.298379,31.741562,-86.29708,31.743487
01043,-86.830179,34.155603,-86.869267,34.131923,-86.831714,34.162156,-86.831859,34.162362
01045,-85.615013,31.394100,-85.609476,31.430654,-85.641948,31.387656,-85.641269,31.383346
01047,-87.065563,32.379942,-87.114356,32.33354,-87.034511,32.405732,-87.034955,32.408815
01049,-85.798919,34.459133,-85.803992,34.460929,-85.810181,34.459779,-85.817208,34.45511
01051,-86.170765,32.596847,-86.142738,32.597229,-86.218197,32.564913,-86.225647,32.559652
01053,-87.232880,31.104135,-87.168429,31.121747,-87.281965,31.086381,-87.282053,31.088737
01055,-86.032125,34.018597,-86.03442,34.047638,-86.024439,34.015075,-86.025393,34.013693
01057,-87.751725,33.747077,-87.752049,33.732249,-87.771412,33.724161,-87.770355,33.726422
01059,-87.832638,34.465405,-87.842815,34.441988,-87.799829,34.457978,-87.793594,34.460481
01061,-85.796983,31.094579,-85.824346,31.090866,-85.794903,31.094166,-85.788849,31.09426
01063,-87.950852,32.837254,-87.9642,32.844497,-87.927239,32.829757,-87.924,32.830505
01065,-87.635687,32.768094,-87.623061,32.752796,-87.629645,32.772358,-87.626084,32.775804
01067,-85.253760,31.493511,-85.239971,31.516978,-85.265593,31.490361,-85.268828,31.478593
01069,-85.350387,31.189731,-85.296398,31.158193,-85.386877,31.205398,-85.391221,31.20455
01071,-85.948462,34.755318,-85.9774,34.763522,-85.940311,34.733704,-85.938698,34.731984
01073,-86.828050,33.527872,-86.896536,33.553444,-86.817556,33.520819,-86.814688,33.518601
01075,-88.084702,33.772995,-88.087431,33.787085,-88.10886,33.764883,-88.109649,33.762769
01077,-87.605700,34.876890,-87.650997,34.904122,-87.608504,34.866759,-87.608759,34.866179
01079,-87.302184,34.554375,-87.321865,34.529776,-87.27454,34.547817,-87.272414,34.543683
01081,-85.328947,32.607485,-85.353048,32.604064,-85.352521,32.59172,-85.345833,32.588092
01083,-86.974946,34.807445,-86.981399,34.810239,-86.954084,34.821982,-86.938972,34.815612
01085,-86.659917,32.171280,-86.650586,32.147888,-86.620978,32.162781,-86.618688,32.162415
01087,-85.721158,32.421555,-85.692887,32.387027,-85.709518,32.423496,-85.715007,32.425739
01089,-86.588226,34.730790,-86.55108,34.764238,-86.605877,34.743145,-86.613232,34.746392
01091,-87.788789,32.331745,-87.791091,32.247591,-87.803144,32.339825,-87.800648,32.340479
01093,-87.878737,34.116331,-87.881551,34.138219,-87.874008,34.112081,-87.8743,34.111797
01095,-86.288884,34.329598,-86.321668,34.309564,-86.29678,34.315395,-86.293279,34.311974
01097,-88.139667,30.722256,-88.196568,30.684573,-88.159562,30.686153,-88.170637,30.683993
01099,-87.359637,31.555656,-87.383266,31.580332,-87.358921,31.511729,-87.360894,31.505611
01101,-86.260844,32.331872,-86.203831,32.20365,-86.258293,32.3468,-86.243797,32.346175
01103,-86.918920,34.507018,-86.846402,34.454484,-86.929311,34.514917,-86.930781,34.514252
01105,-87.334017,32.613284,-87.293827,32.639005,-87.368499,32.582916,-87.369219,32.581066
01107,-88.088963,33.274090,-88.096878,33.296808,-88.075527,33.288047,-88.066472,33.292973
01109,-85.937370,31.792165,-85.941997,31.798726,-85.942867,31.784171,-85.948647,31.787277
01111,-85.445563,33.262424,-85.464068,33.296475,-85.419539,33.252236,-85.427266,33.257607
01113,-85.101100,32.376002,-85.18698,32.289811,-85.069769,32.421223,-85.062843,32.421972
01115,-86.329327,33.667273,-86.315663,33.712963,-86.353223,33.664876,-86.369107,33.660628
01117,-86.698665,33.269120,-86.678104,33.262937,-86.737308,33.289711,-86.737978,33.290719
01119,-88.215706,32.558734,-88.200057,32.597481,-88.234797,32.566853,-88.232646,32.57442
01121,-86.178278,33.368498,-86.175805,33.369277,-86.1736,33.365011,-86.169238,33.372083
01123,-85.835005,32.850131,-85.799553,32.863369,-85.862292,32.857195,-85.864503,32.85306
01125,-87.511691,33.235600,-87.52286,33.290202,-87.524276,33.212939,-87.520229,33.214154
01127,-87.285406,33.819888,-87.301092,33.791571,-87.251294,33.830473,-87.253922,33.834858
01129,-88.151002,31.366088,-88.202078,31.406974,-88.183818,31.41443,-88.18612,31.410368
